Food Name,Food Group,Food Sub Group,Per Serving Household Measure,Opta Type,Opta Place,GA Type,FoodType,FoodTypeValue,"Carbohydrates
(g)","Fats
(g)","Protein
(g)","Dietary 
Fibre
(g)","Trans Fats
(mg)",Sugars (g),Energy,"Sodium 
(mg)","Carbohydrates
(kcal)","Fats
(kcal)","Protein
(kcal)",Total Calories (kcal)
Vegetarian fried bee hoon,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (362g),Main,,Vegetables,Vegetables,13,82.9,16.65,15.93,8.33,#N/A,-1,548.54,1538.5,393.7821787,79.08894181,75.66887946,548.54
"Veggie Delite Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (287g),Main,Subway,Vegetables,Vegetables,13,9.99,1,2.87,3.99,#N/A,4.99,54.53,74.62,39.30409091,3.934343434,11.29156566,54.53
Walnut paste,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (259g),Side,,SideDish,Dessert,24,24.09,21.94,6.99,3.11,30,16.06,321.16,8.52,145.9212448,132.8979706,42.34078461,321.16
Wanton noodles dry,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (335g),Main,,Meat,Noodles,12,57.75,13.84,20.03,2.61,#N/A,10.59,441.06,1454.24,278.009332,66.6259594,96.42470858,441.06
Wanton noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (545g),Main,,Meat,Noodles,12,36.57,7,25.14,1.74,#N/A,4.63,318.04,1969.63,169.2726357,32.4011061,116.3662582,318.04
Wanton soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (445.12g),Main,,SideDish,Soup,21,25.02,12.42,17.8,2.31,#N/A,0.67,283.1,679.25,128.2252353,63.65137581,91.22338885,283.1
"Wanton soup, with chye sim","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (436g),Main,,SideDish,Soup,21,20.06,13.95,12.64,1.74,#N/A,-1,258.43,1783.24,111.1276699,77.27971061,70.02261951,258.43
Natural mineral water,BEVERAGES,Non-alcoholic beverages,Can (330g),Drink,,Drinks,Cold Drinks,2,0,0,0,0,#N/A,0,0,26.4,0,0,0,0
Plain Water,BEVERAGES,Non-alcoholic beverages,Cup (250g),Drink,,Drinks,Cold Drinks,2,0,0,0,0,#N/A,0,0,0,0,0,0,0
Watercress with pork ribs soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (456.9g),Side,,Vegetables,Vegetables,13,0,6.58,13.57,1.23,#N/A,-1,115.97,1229.52,0,37.87010422,78.09989578,115.97
Watermelon,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Slice (119g),Side,,Drinks,Fruits/Juice,26,4,0.2,0.53,0.13,#N/A,3.53,24.69,2.67,20.8794926,1.04397463,2.76653277,24.69
Watermelon and pineapple juice,BEVERAGES,Non-alcoholic beverages,Cup (416g),Drink,,Drinks,Fruits/Juice,26,14.98,0,0.83,0.42,0,14.98,62.4,4.08,59.12409867,0,3.275901328,62.4
Weet-Bix (original),CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Piece (15g),Breakfast,,Meat,Cereal,20,10.05,0.21,1.8,1.58,#N/A,0.42,52.8,42.75,44,0.919402985,7.880597015,52.8
Wheatgrass drink,BEVERAGES,Non-alcoholic beverages,Packet (250g),Drink,,Drinks,Cold Drinks,2,21,0,0.25,0,#N/A,21,85,7.45,84,0,1,85
"White Chip Macademia Nut, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),Side,Subway,Meat,Sandwich,18,28.98,11,1.8,0.99,#N/A,18,220.05,160.2,152.6340115,57.93561513,9.480373384,220.05
Xiao wan mian,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (768g),Main,,Meat,Noodles,12,79.49,23.35,33.33,7.3,#N/A,4.38,657.72,2396.39,383.947733,112.7837409,160.9885261,657.72
Yaki udon with chicken,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (445g),Main,,Meat,Noodles,12,52.07,23.85,23.59,5.79,90,7.12,516.2,1926.85,270.1088735,123.7199276,122.3711989,516.2
"Zinger Burger, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),Main,KFC,Meat,Chicken,4,46.6,37.4,27.3,2.94,0,-1,632.1,1167.6,264.6528302,212.4037736,155.0433962,632.1
"a.m. Hash Brown, KFC",FAST FOODS,All fast food outlets in alphabetical order,Piece (57g),BreakfastSide,KFC,SideDish,Snacks,27,11,5,1,1.54,0,0.14,90.06,200.07,58.27411765,26.48823529,5.297647059,90.06
"a.m. Honey Biscuit, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),BreakfastSide,KFC,SideDish,Snacks,27,20,9,3.15,#N/A,4,-1,171,333.9,106.3763608,47.86936236,16.75427683,171
"a.m. Platter, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (264g),Breakfast,KFC,SideDish,Snacks,27,41,29.59,29.04,#N/A,4.01,-1,541.2,1153.68,222.7160494,160.7358025,157.7481481,541.2
"a.m. Twister (American), KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (195g),Breakfast,KFC,SideDish,Snacks,27,50.7,22.62,13.65,#N/A,0.1,-1,460.2,1129.05,268.2780269,119.6932735,72.22869955,460.2
"a.m. Twister (Original Recipe), KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (195g),Breakfast,KFC,SideDish,Snacks,27,38.9,26.72,21.45,#N/A,0.2,-1,483.6,1166.1,216.0565063,148.4069369,119.1365568,483.6
"a.m. Waffles & Eggs, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),Breakfast,KFC,SideDish,Snacks,27,34,24.91,22.2,#N/A,0.08,-1,449.4,882,188.3812107,138.01694,123.0018493,449.4
"a.m. Waffles, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (110g),Breakfast,KFC,SideDish,Snacks,27,33.5,15.8,7.7,#N/A,0,-1,308,600.6,181.0175439,85.3754386,41.60701754,308
"a.m. porridge, KFC",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (350g),Breakfast,KFC,SideDish,Snacks,27,30.8,5.99,10.89,#N/A,0,-1,220.5,787.5,142.4370805,27.70123742,50.36168205,220.5
chicken feet noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (628g),Main,,SideDish,Soup,21,53.38,15.7,25.12,4.4,#N/A,18.84,452.16,1997.04,256.224,75.36,120.576,452.16
fish ball tang hoon soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (527g),Main,,SideDish,Soup,21,37.73,2.16,11.86,3.27,#N/A,1.48,217.65,2030.53,158.6847246,9.084521739,49.88075362,217.65
fried rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (309g),Main,,Meat,Rice,11,60.97,20.36,18.17,4.39,#N/A,7.35,499.65,1850.91,306.1674422,102.2399397,91.24261809,499.65
